,Product,Energy_Content_MJ_per_unit,Energy_Input_for_production
0,"Electricity Mix, consumption mix, at consumer, AC, 230-240V",0.000289275455042932,0.0
1,"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",0.00151287267698262,0.0
2,"Electricity Mix, consumption mix, at consumer, AC, < 1kV",1.39430711905642,0.0
3,"Process steam from Light fuel oil 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",1.90298852021304e-05,0.0
4,"Electricity grid mix, consumption mix, at consumer, AC, 230V",0.000225659448574816,0.0
5,Dummy_Hydrogen,,0.0
6,"Electricity grid mix, consumption mix, at consumer, AC, 230V",0.0258099659295204,0.0
7,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",3.36544560722074e-07,0.0
8,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",8.02454616060108,0.0
9,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",1.27381515934164e-06,0.0
10,"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",7.52792105285238e-07,0.0
11,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",3.44691743223093,0.0
12,"Electricity Mix, consumption mix, at consumer, AC, 230V",0.0212334969308596,0.0
13,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",4.74449149458718,0.0
14,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.000115344078457547,0.0
15,"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",10.3290273576059,0.0
16,"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",0.198582615554399,0.0
17,"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",0.000792798409139078,0.0
18,"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.00228836015328319,0.0
19,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.000202121817195969,0.0
20,"Electricity Mix, consumption mix, at consumer, AC, 220V",0.209584848334712,0.0
21,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.00137117142052267,0.0
22,"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",3.16486311116627e-05,0.0
23,"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",1.28350466748108e-05,0.0
24,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.00674245033828909,0.0
25,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.0095210258103258,0.0
26,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",0.388264585985388,0.0
27,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",0.05601488077998,0.0
28,"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",4.79610978389749e-05,0.0
29,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.00344166679077341,0.0
30,"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",1.31842943495752e-06,0.0
31,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.000245591807357021,0.0
32,"Electricity Mix, consumption mix, at consumer, AC, 220V",0.423066048309395,0.0
33,"Electricity Mix, consumption mix, at consumer, AC, 220V",3.58098066055721e-07,0.0
34,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.00138362418007584,0.0
35,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",1.37304503385561e-06,0.0
36,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.00309007437076392,0.0
37,"Process steam from heavy fuel oil, consumption mix, at plant, heat plant, MJ",0.00347588534406029,0.0
38,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.00677457260459796,0.0
39,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.000626424904711748,0.0
40,"Electricity Mix, consumption mix, at consumer, AC, 230V",1.97220513638432e-05,0.0
41,"Diesel mix at refinery, production mix, at refinery, from crude oil and bio components, fuel supply, 10 ppm sulphur, 5.75 wt.% bio components",0.145187130475255,0.0
42,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",3.20918529122641e-05,0.0
43,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",1.50859488939158e-06,0.0
44,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.00993298986475338,0.0
45,"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.000152779523380309,0.0
46,"Electricity Mix, consumption mix, at consumer, AC, 125-220V",0.259193302311084,0.0
47,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",1.19606751593465e-06,0.0
48,"Diesel, consumption mix, at refinery, from crude oil, 200 ppm sulphur",0.00480221886000017,0.0
49,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.000161735350517075,0.0
50,"Electricity grid mix, consumption mix, at consumer, AC, 230V",0.142619233628113,0.0
51,"Electricity Mix, consumption mix, at consumer, AC, 240V",0.0116610002683512,0.0
52,Dummy_LPG - liquefied petroleum gas,,0.0
53,"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",1.16385761931248e-06,0.0
54,"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",0.777925817042309,0.0
55,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",1.04784865238894e-06,0.0
56,"Gypsum plaster (CaSO4 beta hemihydrates), production mix, at plant, technology mix of natural gypsum (45%) and gypsum from flue gas desulphurisation (55%), grinded and purified product",7.74901125096867e-07,0.0
57,"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",9.00168677249832e-07,0.0
58,"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",5.29286462440154e-05,0.0
59,"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",0.000261524507432009,0.0
60,"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",0.00448792611751179,0.0
61,"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",4.92773771166143e-05,0.0
